Observación,Sexo,Edad,Educación,Ingresos,Cuenta Nomina,Tipo de Ingreso,Tarjeta de Credito,Frecuencia de Uso,Dicsiplina Financiera,Actitud,Ahorro
1809,1,79,0,18000,1,2,2,8,0,0,1
615,1,55,4,11724,1,2,1,4,0,0,1
417,1,52,3,60000,1,1,2,1,0,0,1
982,1,65,3,60000,1,2,1,6,0,0,1
1482,1,46,1,7200,1,2,1,6,1,0,1
488,1,47,1,8800,1,1,1,4,1,0,2
1035,1,22,2,48000,1,2,1,6,1,0,1
459,1,53,3,20000,2,1,1,1,1,0,1
342,1,34,4,8000,2,2,2,1,1,0,2
2007,2,25,1,8000,1,1,1,1,0,3,2
667,2,40,0,48000,1,1,2,3,3,3,1
1479,1,64,1,8000,1,1,1,4,3,3,1
1589,2,40,3,15200,1,1,1,4,3,3,1
685,1,81,3,30000,1,1,2,2,3,3,2
124,1,45,0,40000,1,2,1,2,2,3,2
20,2,25,0,10000,1,2,2,7,2,3,2
18,2,25,0,6400,1,2,1,2,2,3,2
167,1,34,0,8000,1,1,1,1,2,3,1
30,2,53,0,10000,1,2,1,1,2,3,2
877,1,80,0,9000,1,2,1,4,2,3,1
1989,1,22,1,4800,2,2,2,4,2,3,1
349,2,25,1,12400,1,1,2,6,2,3,1
1218,1,26,1,6000,2,2,2,6,2,3,1
408,1,29,1,8000,1,2,2,4,2,3,1
694,1,33,1,30000,1,1,1,1,2,3,1
1245,1,34,1,6000,2,2,1,4,2,3,1
704,1,34,1,40000,1,2,1,4,2,3,2
616,1,36,1,6000,1,1,1,4,2,3,1
1834,1,39,1,20000,1,2,2,6,2,3,2
1626,2,39,1,36000,1,2,2,4,2,3,2
1849,1,42,1,40000,1,2,1,6,2,3,2
1507,1,48,1,6000,1,1,1,4,2,3,2
2035,2,49,1,16000,2,2,1,4,2,3,1
1353,1,50,1,40000,1,1,1,2,2,3,1
182,1,51,1,7000,1,2,2,2,2,3,2
627,1,53,1,10000,2,2,1,2,2,3,1
1847,2,55,1,32000,2,1,1,1,2,3,1
1856,1,56,1,32000,1,2,1,2,2,3,2
1374,1,58,1,4500,1,2,1,4,2,3,1
1274,1,59,1,6000,1,2,1,1,2,3,2
141,2,59,1,60000,1,2,1,4,2,3,1
31,1,60,1,16000,1,2,1,1,2,3,2
983,1,61,1,16000,2,1,2,2,2,3,2
786,1,63,1,18000,1,2,1,8,2,3,1
1888,2,66,1,8000,1,1,1,6,2,3,2
